,year_id,month_id,market_id,旅客量,客座率
0,2016,5,港澳台,1136974,0.7353381999999999
1,2015,10,国际,3549791,0.7220456
2,2016,4,国际,3986714,0.7944052
3,2017,5,国际,3879634,0.7270172
4,2017,5,港澳台,1024773,0.7492304
5,2016,8,国内,39090470,0.8797424
6,2016,9,国际,3935350,0.7678756
7,2017,8,国际,4810402,0.8262413999999999
8,2015,4,国内,30192356,0.8308327999999999
9,2015,1,港澳台,924880,0.6903155999999999
10,2015,9,国际,3296631,0.7312997999999999
11,2017,6,港澳台,1038588,0.7731622
12,2016,1,国际,3739900,0.77876
13,2016,7,港澳台,1029521,0.7869954
14,2015,4,国际,3166531,0.809199
15,2017,9,港澳台,1078651,0.7625058
16,2015,2,国内,28030967,0.8417612
17,2016,5,国内,33430235,0.82726
18,2015,7,港澳台,1057689,0.7563938
19,2017,1,国内,35357207,0.8389268
20,2016,6,国际,3992928,0.7857504000000001
21,2016,3,港澳台,1074197,0.7342952
22,2017,5,国内,37087824,0.8304969999999999
23,2017,11,港澳台,1083995,0.8057522
24,2017,10,国际,4486263,0.7535196
25,2017,3,港澳台,1020603,0.7254558
26,2015,9,港澳台,976569,0.7266334
27,2015,12,港澳台,1023762,0.7274288
28,2017,2,国内,36230661,0.8683562
29,2016,11,国际,3439806,0.735845
30,2017,7,国际,4556324,0.7880248000000001
31,2016,3,国内,32521364,0.8340698
32,2016,8,国际,4639639,0.8279331999999999
33,2017,9,国际,4186032,0.7685734
34,2017,2,港澳台,1027861,0.777799
35,2015,10,国内,32880144,0.8362879999999999
36,2015,6,国际,3024351,0.7497596
37,2015,1,国内,27935693,0.781544
38,2015,6,港澳台,1099721,0.734731
39,2017,3,国内,37289835,0.8454804
40,2016,2,国内,31450326,0.8343311999999999
41,2017,4,国内,37367408,0.8458002
42,2016,4,港澳台,1190888,0.7987698000000001
43,2016,1,国内,30854721,0.7937644
44,2016,8,港澳台,1101319,0.7822406000000001
45,2017,7,国内,41276140,0.8457522
46,2015,8,国际,3873854,0.8365098
47,2015,1,国际,2749423,0.754068
48,2017,6,国内,37246615,0.8556652
49,2015,12,国内,28128874,0.7999292
50,2016,11,国内,33880326,0.8269816
51,2015,2,港澳台,1132415,0.8091108
52,2016,9,港澳台,1005062,0.7399108
53,2015,5,国内,29245119,0.8217827999999999
54,2017,7,港澳台,1214751,0.8106508
55,2015,5,国际,3261883,0.772571
56,2016,6,港澳台,1055161,0.7484996
57,2017,11,国际,4101832,0.7456248
58,2016,6,国内,32843049,0.8482417999999999
59,2017,8,港澳台,1105609,0.838317
60,2016,3,国际,3896035,0.783089
61,2016,1,港澳台,1110591,0.7303111999999999
62,2016,10,港澳台,994705,0.7314834
63,2015,2,国际,3272954,0.8400446
64,2015,3,国内,30790019,0.847599
65,2016,12,港澳台,948178,0.7695736
66,2015,9,国内,30444914,0.8106312
67,2017,4,港澳台,1181886,0.7795724
68,2015,11,港澳台,1026014,0.7393274
69,2017,6,国际,3995292,0.7597032
70,2016,10,国际,3754182,0.7325722
71,2016,7,国际,4454184,0.8166574
72,2017,10,国内,41814968,0.8523702
73,2016,12,国内,34857840,0.825757
74,2015,7,国际,3394549,0.7918396000000001
75,2015,11,国内,28647733,0.8152
76,2015,6,国内,29776442,0.8214665999999999
77,2015,10,港澳台,1081384,0.7479542
78,2017,2,国际,4171688,0.8207774
79,2015,3,港澳台,998182,0.6891432
80,2017,1,国际,4530333,0.80749
81,2017,8,国内,42161676,0.8631084
82,2017,4,国际,3934573,0.7669018
83,2016,4,国内,32441817,0.8451145999999999
84,2016,12,国际,3951985,0.7642272
85,2015,8,港澳台,1231618,0.8129014000000001
86,2015,5,港澳台,1146868,0.7262018
87,2015,8,国内,34140680,0.8686012
88,2015,11,国际,3206234,0.7150915999999999
89,2016,5,国际,3849406,0.7451757999999999
90,2015,7,国内,32680674,0.8363769999999999
91,2017,3,国际,4142223,0.7493738
92,2016,10,国内,36394176,0.8604216
93,2016,2,国际,4145598,0.8079276000000001
94,2016,2,港澳台,1244049,0.7580882
95,2017,10,港澳台,1228579,0.7969036
96,2016,7,国内,36682372,0.8429506
97,2015,4,港澳台,1083168,0.7309436
98,2017,9,国内,38700179,0.8321898
99,2017,12,国内,39596022,0.8223807999999999
100,2017,11,国内,38139282,0.839791
101,2015,12,国际,3488234,0.7270338
102,2016,11,港澳台,986698,0.7580424
103,2017,12,国际,4542912,0.772819
104,2015,3,国际,3078368,0.8063074
105,2016,9,国内,34484849,0.8504418
106,2017,12,港澳台,1106454,0.7937806000000001
107,2017,1,港澳台,1102252,0.7688306
