,起飞年,起飞星期,景气指数
0,2015,1,89.57517999999999
1,2015,10,92.69366
2,2015,11,92.43514
3,2015,12,92.51584
4,2015,13,92.458
5,2015,14,92.38109999999999
6,2015,15,92.59393999999999
7,2015,16,92.577
8,2015,17,92.68047999999999
9,2015,18,92.63658000000001
10,2015,19,92.46207999999999
11,2015,2,91.8729
12,2015,20,92.54018
13,2015,21,92.35718
14,2015,22,92.4102
15,2015,23,92.0942
16,2015,24,92.33892
17,2015,25,92.53106
18,2015,26,92.73946
19,2015,27,92.72662
20,2015,28,92.79746
21,2015,29,93.2479
22,2015,3,92.16102000000001
23,2015,30,93.15252
24,2015,31,93.25349999999999
25,2015,32,93.38962000000001
26,2015,33,93.4657
27,2015,34,93.33066000000001
28,2015,35,93.17488
29,2015,36,92.6691
30,2015,37,92.74194
31,2015,38,92.82740000000001
32,2015,39,92.93314
33,2015,4,92.25238
34,2015,40,92.92468
35,2015,41,93.11598000000001
36,2015,42,92.81512000000001
37,2015,43,92.86556
38,2015,44,92.70703999999999
39,2015,45,92.4771
40,2015,46,92.44732
41,2015,47,92.6256
42,2015,48,92.43558
43,2015,49,92.32234
44,2015,5,92.37584
45,2015,50,92.4758
46,2015,51,92.70137999999999
47,2015,52,92.58792000000001
48,2015,53,90.4219
49,2015,6,92.76516
50,2015,7,93.19319999999999
51,2015,8,92.73610000000001
52,2015,9,93.61396
53,2016,1,89.0096
54,2016,10,92.83656
55,2016,11,92.67824
56,2016,12,92.96046000000001
57,2016,13,92.87172
58,2016,14,92.85928
59,2016,15,92.8641
60,2016,16,92.99861999999999
61,2016,17,93.18298
62,2016,18,93.14224
63,2016,19,92.77871999999999
64,2016,2,92.703
65,2016,20,92.7617
66,2016,21,92.9048
67,2016,22,92.91784
68,2016,23,92.71994
69,2016,24,92.9466
70,2016,25,93.03384
71,2016,26,93.05687999999999
72,2016,27,93.24922
73,2016,28,93.30624
74,2016,29,93.45108
75,2016,3,92.925
76,2016,30,93.65674
77,2016,31,93.67586
78,2016,32,93.71998
79,2016,33,93.91582
80,2016,34,93.82004
81,2016,35,93.76726000000001
82,2016,36,93.31596
83,2016,37,93.36712
84,2016,38,92.9838
85,2016,39,93.3106
86,2016,4,92.99796
87,2016,40,93.6644
88,2016,41,93.44624
89,2016,42,93.34468000000001
90,2016,43,93.17202
91,2016,44,93.12491999999999
92,2016,45,92.94872
93,2016,46,93.10468
94,2016,47,93.08748
95,2016,48,93.0682
96,2016,49,92.90682000000001
97,2016,5,93.24532
98,2016,50,92.9565
99,2016,51,93.0728
100,2016,52,93.10276
101,2016,53,92.50234
102,2016,6,93.47088000000001
103,2016,7,93.37118
104,2016,8,93.51295999999999
105,2016,9,93.31692
106,2017,1,84.77130000000001
107,2017,10,93.3577
108,2017,11,93.2344
109,2017,12,93.34702
110,2017,13,93.54334
111,2017,14,93.54422
112,2017,15,93.34946000000001
113,2017,16,93.63242
114,2017,17,93.63647999999999
115,2017,18,93.72006
116,2017,19,93.40646
117,2017,2,93.31276
118,2017,20,93.36932
119,2017,21,93.5007
120,2017,22,93.55026000000001
121,2017,23,93.16038
122,2017,24,93.35722
123,2017,25,93.41462
124,2017,26,93.54924
125,2017,27,93.87316
126,2017,28,93.83846
127,2017,29,93.9815
128,2017,3,93.72852
129,2017,30,94.03222
130,2017,31,94.10267999999999
131,2017,32,94.22654
132,2017,33,94.16664
133,2017,34,94.212
134,2017,35,94.0585
135,2017,36,93.75202
136,2017,37,93.59
137,2017,38,93.69044
138,2017,39,93.78458
139,2017,4,93.93934
140,2017,40,94.1378
141,2017,41,94.16102
142,2017,42,93.7654
143,2017,43,93.64656000000001
144,2017,44,93.62522
145,2017,45,93.66806
146,2017,46,93.6386
147,2017,47,93.57998
148,2017,48,93.62902
149,2017,49,93.5246
150,2017,5,93.89858
151,2017,50,93.55838
152,2017,51,93.71884
153,2017,52,93.67996
154,2017,53,93.69312
155,2017,6,94.23772
156,2017,7,93.85522
157,2017,8,93.74526
158,2017,9,93.58198
159,2018,1,93.62584
160,2018,10,93.95356
161,2018,11,93.85116000000001
162,2018,12,94.08994
163,2018,13,94.12194000000001
164,2018,14,93.92747999999999
165,2018,15,94.14196
166,2018,16,94.14414
167,2018,17,94.21397999999999
168,2018,18,93.93718
169,2018,19,93.97886000000001
170,2018,2,93.58926000000001
171,2018,20,93.94803999999999
172,2018,21,93.94336
173,2018,22,93.7347
174,2018,23,93.78994
175,2018,24,94.04780000000001
176,2018,25,94.14232
177,2018,26,94.27614
178,2018,27,94.30242000000001
179,2018,28,94.38668
180,2018,29,94.37034
181,2018,3,93.88328
182,2018,30,94.63718
183,2018,31,94.54364000000001
184,2018,32,94.65754
185,2018,33,94.67158
186,2018,34,94.62986
187,2018,35,94.27771999999999
188,2018,36,94.17078
189,2018,37,94.11488
190,2018,38,94.23252000000001
191,2018,39,94.1925
192,2018,4,93.83858000000001
193,2018,40,94.40638
194,2018,41,94.2678
195,2018,42,94.2313
196,2018,43,94.0922
197,2018,44,93.94264
198,2018,45,93.86012000000001
199,2018,46,93.87537999999999
200,2018,47,93.87274
201,2018,48,93.81604
202,2018,49,93.81682
203,2018,5,94.03609999999999
204,2018,50,93.84899999999999
205,2018,51,94.08800000000001
206,2018,52,94.02488
207,2018,53,85.6782
208,2018,6,94.36436
209,2018,7,94.22866
210,2018,8,94.80134
211,2018,9,94.37548
